Value,NAME
1,Fremont
2,Huerfano
3,Douglas
4,Jefferson
5,Boulder
6,Broomfield
7,Larimer
8,Cheyenne
9,Crowley
10,El Paso
11,Kiowa
12,Otero
13,Pueblo
14,Arapahoe
15,Denver
16,Elbert
17,Lincoln
18,Adams
19,Morgan
20,Weld
21,Kit Carson
22,Washington
23,Logan
